,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
148,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,sag
149,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,saga
175,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7748287943940119,100.0,l1,liblinear
179,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7748287943940119,100.0,l1,saga
1,0.7155405405405405,0.603651446592623,0.6796703296703296,0.6350222828927926,0.73950270743749,1e-05,l2,liblinear
25,0.7155405405405405,0.603651446592623,0.6796703296703296,0.6350222828927926,0.7407748049052397,0.0001,l2,liblinear
120,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.7741877687529862,1.0,l2,lbfgs
122,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.7741877687529862,1.0,l2,newton-cg
123,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.7741877687529862,1.0,l2,newton-cholesky
124,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.7741877687529862,1.0,l2,sag
125,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.7741877687529862,1.0,l2,saga
121,0.7181681681681682,0.6391452991452992,0.5456043956043957,0.5820828347065229,0.775139353400223,1.0,l2,liblinear
151,0.7181681681681682,0.6405738705738706,0.5384615384615385,0.57951943386726,0.7741877687529863,10.0,l1,liblinear
155,0.7181681681681682,0.6405738705738706,0.5384615384615385,0.57951943386726,0.7741877687529863,10.0,l1,saga
97,0.7207957957957959,0.6495327221797809,0.5302197802197802,0.5745964723033448,0.7753205128205127,0.1,l2,liblinear
