,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
542,0.9472463768115942,0.99375,0.8610294117647058,0.9217636599588768,0.9896696609678356,100.0,1,1e-05,rbf
572,0.9472463768115942,0.99375,0.8610294117647058,0.9217636599588768,0.9896696609678356,100.0,8,1e-05,rbf
497,0.9515942028985508,0.9167053663570692,0.9577205882352942,0.9355109306674774,0.981168501883512,16.68100537200059,1,0.0774263682681127,rbf
527,0.9515942028985508,0.9167053663570692,0.9577205882352942,0.9355109306674774,0.981168501883512,16.68100537200059,8,0.0774263682681127,rbf
428,0.9515942028985508,1.0,0.8669117647058823,0.927634872080089,0.989454143726456,2.782559402207126,1,0.00035938136638046257,rbf
458,0.9515942028985508,1.0,0.8669117647058823,0.927634872080089,0.989454143726456,2.782559402207126,8,0.00035938136638046257,rbf
180,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,1e-05,linear
183,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,5.994842503189409e-05,linear
186,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,0.00035938136638046257,linear
189,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,0.0021544346900318843,linear
192,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,0.01291549665014884,linear
195,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,0.0774263682681127,linear
198,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,0.4641588833612782,linear
201,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,2.782559402207126,linear
204,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,16.68100537200059,linear
207,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,1,100.0,linear
210,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,1e-05,linear
213,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,5.994842503189409e-05,linear
216,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,0.00035938136638046257,linear
219,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,0.0021544346900318843,linear
