,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
439,0.9494202898550724,0.9875,0.8731617647058822,0.9256373242997268,0.990019197334106,31,3,distance
230,0.9494202898550724,0.9933333333333334,0.8672794117647058,0.925252426939023,0.9856581425673716,16,4,uniform
10,0.9494685990338164,0.941125792422232,0.9220588235294118,0.929680735930736,0.9437880324543608,1,6,uniform
11,0.9494685990338164,0.941125792422232,0.9220588235294118,0.929680735930736,0.9437880324543608,1,6,distance
24,0.9494685990338164,0.941125792422232,0.9220588235294118,0.929680735930736,0.9437880324543608,1,6,uniform
25,0.9494685990338164,0.941125792422232,0.9220588235294118,0.929680735930736,0.9437880324543608,1,6,distance
39,0.9494685990338164,0.941125792422232,0.9220588235294118,0.929680735930736,0.9684357794842076,2,6,distance
164,0.9494685990338164,0.9803571428571428,0.8794117647058822,0.926480685610274,0.9841096783541003,11,6,uniform
165,0.9494685990338164,0.9803571428571428,0.8794117647058822,0.926480685610274,0.9850586786438712,11,6,distance
357,0.9494685990338164,0.9812009803921568,0.8797794117647058,0.9260723194121412,0.9895881628513472,25,4,distance
356,0.9494685990338164,0.9812009803921568,0.8797794117647058,0.9260723194121412,0.9897910026079396,25,4,uniform
413,0.9494685990338164,0.98125,0.8794117647058822,0.9260539909663936,0.9889361779194435,29,4,distance
496,0.9494685990338164,0.9875,0.8731617647058822,0.9256373242997268,0.9866343088959724,35,4,uniform
511,0.9494685990338164,0.9875,0.8731617647058822,0.9256373242997268,0.9874619675456388,36,4,distance
497,0.9494685990338164,0.9875,0.8731617647058822,0.9256373242997268,0.9878803245436104,35,4,distance
483,0.9494685990338164,0.9875,0.8731617647058822,0.9256373242997268,0.9878875688206316,34,4,distance
312,0.9494685990338164,0.9875,0.8735294117647058,0.9258584875450838,0.9880704868154158,22,3,uniform
548,0.9494685990338164,0.9878676470588236,0.8735294117647058,0.9252402079751912,0.9882017893364242,39,2,uniform
284,0.9494685990338164,0.99375,0.8676470588235293,0.9254552617386322,0.9888963343958272,20,3,uniform
384,0.9495169082125604,0.9812009803921568,0.8797794117647058,0.9258645970269996,0.9893617791944364,27,4,uniform
371,0.9495169082125604,0.9812009803921568,0.8797794117647058,0.9258645970269996,0.989378078817734,26,4,distance
385,0.9495169082125604,0.9812009803921568,0.8797794117647058,0.9258645970269996,0.9895809185743264,27,4,distance
34,0.9495169082125604,0.9933333333333334,0.8676470588235293,0.9250226923614022,0.9606708200521588,2,4,uniform
190,0.9515458937198068,0.97484243697479,0.8908088235294118,0.9300495574405312,0.9858111779194436,13,5,uniform
191,0.9515458937198068,0.97484243697479,0.8908088235294118,0.9300495574405312,0.986306505360765,13,5,distance
277,0.9515458937198068,0.9808333333333332,0.8849264705882354,0.9292736879360906,0.9847996957403652,19,6,distance
317,0.9515458937198068,0.9808333333333332,0.8849264705882354,0.9294814103212324,0.985415459287163,22,5,distance
149,0.9515942028985508,0.9650438596491228,0.9033088235294118,0.9315560358872372,0.9861018545349176,10,5,distance
80,0.9515942028985508,0.9688293650793652,0.8974264705882353,0.9307039868733415,0.9820369095914228,5,6,uniform
81,0.9515942028985508,0.9688293650793652,0.8974264705882353,0.9307039868733415,0.984160388293248,5,6,distance
123,0.9515942028985508,0.969246031746032,0.8970588235294118,0.9302320820632834,0.985158287452912,8,6,distance
160,0.9515942028985508,0.9754960317460318,0.8911764705882353,0.9300365786419736,0.9865691104027816,11,4,uniform
161,0.9515942028985508,0.9754960317460318,0.8911764705882353,0.9300365786419736,0.9881483627933934,11,4,distance
333,0.9515942028985508,0.9808333333333332,0.8852941176470587,0.92949973876698,0.9856255433207768,23,6,distance
319,0.9515942028985508,0.98125,0.8852941176470589,0.9294814103212324,0.9854100260793974,22,6,distance
188,0.9515942028985508,0.9817460317460318,0.8849264705882354,0.9296199119753068,0.9865102506519848,13,4,uniform
